,0,1,2,3,4,5,6,7,8,9,,,,,,,
1,1,1,1,0,0,0,0,1,0,1,5,,0,1,2,7,9
2,1,1,1,0,0,1,1,0,0,0,5,,0,1,2,5,6
3,1,1,1,0,1,0,0,0,1,0,5,,0,1,2,4,8
4,1,0,0,1,1,0,1,1,0,0,5,,0,3,4,6,7
5,0,0,1,1,0,1,1,1,0,0,5,,2,3,5,6,7
6,1,0,0,1,1,1,0,0,1,0,5,,0,3,4,5,8
7,1,1,1,1,0,0,0,0,1,0,5,,0,1,2,3,8
8,1,1,1,1,0,0,1,0,0,0,5,,0,1,2,3,6
9,1,1,0,0,1,0,0,1,1,0,5,,0,1,4,7,8
10,1,1,1,1,0,1,0,0,0,0,5,,0,1,2,3,5
11,1,0,1,0,1,1,0,1,0,0,5,,0,2,4,5,7
12,1,0,1,0,1,1,0,0,0,1,5,,0,2,4,5,9
13,1,0,0,1,1,0,0,0,1,1,5,,0,3,4,8,9
14,1,1,1,1,1,0,0,0,0,0,5,\,0,1,2,3,4
15,1,1,1,1,1,0,0,0,0,0,5,\,0,1,2,3,4
16,1,1,1,1,0,0,1,0,0,0,5,,0,1,2,3,6
17,1,0,1,1,0,0,1,0,0,1,5,,0,2,3,6,9
18,1,1,1,1,1,0,0,0,0,0,5,,0,1,2,3,4
19,1,1,0,0,0,1,1,1,0,0,5,,0,1,5,6,7
20,1,1,0,0,0,1,1,0,0,1,5,,0,1,5,6,9
21,1,1,1,0,0,1,1,0,0,0,5,,0,1,2,5,6
22,1,1,0,1,0,1,1,0,0,0,5,,0,1,3,5,6
23,1,1,1,0,0,0,0,1,1,0,5,,,,,,
24,1,1,1,1,0,0,1,0,0,0,5,,,,,,
25,1,1,1,0,1,1,0,0,0,0,5,,,,,,
26,1,1,1,0,1,0,0,1,0,0,5,,,,,,
27,1,1,1,1,0,0,0,0,0,1,5,,,,,,
28,1,0,0,1,0,1,1,0,1,0,5,,,,,,
29,1,1,1,0,1,1,0,0,0,0,5,,,,,,
30,1,1,1,1,0,0,1,0,0,0,5,\,,,,,
31,1,1,1,0,1,0,1,0,0,0,5,,,,,,
32,1,1,1,0,0,0,1,0,1,0,5,,,,,,
33,1,1,1,1,0,0,0,1,0,0,5,,,,,,
34,1,1,0,0,1,0,1,0,1,0,5,,,,,,
35,1,1,1,0,0,0,0,1,1,0,5,,,,,,
36,1,1,1,1,1,0,0,0,0,0,5,,,,,,
37,1,1,1,0,1,1,0,0,0,0,5,,,,,,
38,1,1,1,1,1,0,0,0,0,0,5,,,,,,
39,1,1,0,0,0,1,1,1,0,0,5,,,,,,
40,1,1,1,1,0,1,0,0,0,0,5,,,,,,
41,1,1,1,0,0,0,1,0,1,0,5,,,,,,
42,1,1,1,0,0,1,0,1,0,0,5,,,,,,
43,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,
